Price,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,LT.NS,RELIANCE.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,LT.NS,RELIANCE.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,LT.NS,RELIANCE.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,LT.NS,RELIANCE.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,LT.NS,RELIANCE.NS
Date,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-20,,,1378.6771240234375,1408.395751953125,3835.23974609375,1460.04931640625,,1432.9197829584125,1414.276496397426,3849.9957650830866,1467.0170999313523,,1377.5862231965677,1397.8874708768014,3808.203767666286,1426.7034952504036,,1429.944862993793,1401.4544470050912,3824.643294384854,1433.3726108781723,,23330227,6994246,1223232,24721978
2025-10-21,,,1370.4464111328125,1419.482421875,3850.58984375,1458.4566650390625,,1375.999570643796,1432.5936185349226,3857.3241164940473,1467.2162134241023,,1364.3974316467445,1417.1686535978035,3839.6962454749205,1453.2806455896807,,1372.9255110082336,1424.881136066363,3854.3531351462984,1461.2438272093502,,3415560,1698704,260327,2066169
2025-10-23,,,1352.2994384765625,1473.566162109375,3880.794921875,1441.7340087890625,,1378.1813396780694,1490.4372172856354,3927.8354611063683,1476.0752283864208,,1348.7295586366392,1451.8748054541832,3852.3725812636535,1437.9514490416038,,1373.4214191916344,1455.7310466373283,3852.3725812636535,1468.2115624957596,,21124942,20358624,2815778,18707090
2025-10-24,,,1366.182373046875,1470.57763671875,3867.128173828125,1444.9193115234375,,1370.0497932383416,1487.5450748262833,3901.7896221286937,1453.0816457634617,,1356.66265330236,1463.4435668090073,3859.7998500419208,1434.3681199531734,,1356.66265330236,1484.1708637038648,3891.2922999965385,1443.3266994671071,,10570263,8652257,1146636,9700837
2025-10-27,,,1366.083251953125,1472.633056640625,3885.845703125,1477.2696533203125,,1375.206412664237,1483.2043487095048,3909.81157169803,1478.16553552233,,1362.5133721313011,1466.3685916918344,3869.2081587194034,1451.289798512833,,1370.5456319928564,1478.0165606695539,3874.1597944485043,1456.266786847925,,11499836,7273211,1057688,14113867
2025-10-28,,,1351.7044677734375,1468.4241943359375,3934.37158203125,1480.056884765625,,1364.298368477702,1474.5908017388306,3947.4438514977546,1485.1333888036675,,1344.8621275230646,1458.9296979699484,3879.4084275510377,1470.79963742504,,1361.521728041381,1467.9347848431598,3884.162046024061,1477.26972256393,,26477914,8211019,3391806,17631577
2025-10-29,,,1358.9434814453125,1478.408203125,3919.81396484375,1497.277099609375,,1360.2325408166014,1488.0005573851865,3977.846990406787,1501.3583271895798,,1347.043801434495,1465.1941469679696,3882.082403950858,1481.2512217130793,,1353.191921020162,1468.4241778932897,3949.424649733679,1483.1425015536738,,16129382,4884976,2563641,11884745
2025-10-30,,,1351.0103759765625,1462.1597900390625,3948.929443359375,1481.6494140625,,1358.7450954369456,1476.2546872805226,4023.303107769138,1496.1821955688695,,1349.9195961737937,1457.5592692997866,3937.1446471867516,1477.1701246011085,,1351.0103759765625,1475.0801523386458,3941.5019898608934,1493.0964871305005,,9324401,5608867,4959400,9318663
2025-10-31,,,1334.0533447265625,1450.9034423828125,3991.909423828125,1479.5592041015625,,1350.6136843601014,1465.3898918009988,4006.7643303770587,1490.6080945575152,,1332.07006472016,1449.3372364048548,3941.6998880485453,1475.4780977270138,,1345.6554843440952,1458.4403008415877,3962.3978695741725,1483.540795005222,,15926798,4819814,2328183,8758053
2025-11-03,,,1335.14404296875,1454.0355224609375,3941.9970703125,1477.866943359375,,1340.3005222505137,1459.8105780526128,4001.911860603646,1488.1195884585134,,1326.715103456384,1442.974820743242,3936.451141772266,1472.4918928888083,,1329.2933430972657,1450.9033496746388,3991.018262368892,1479.1610089962214,,11071450,5470600,1154072,8452085
