date,nav
19-08-2025,1235.04300
18-08-2025,1227.62700
14-08-2025,1214.90500
13-08-2025,1213.23400
12-08-2025,1207.55400
11-08-2025,1211.12100
08-08-2025,1200.39000
07-08-2025,1213.05000
06-08-2025,1211.42600
05-08-2025,1217.19300
04-08-2025,1219.49800
01-08-2025,1213.28800
31-07-2025,1222.70300
30-07-2025,1228.60800
29-07-2025,1227.78800
28-07-2025,1220.63800
25-07-2025,1230.13400
24-07-2025,1239.09100
23-07-2025,1244.19800
22-07-2025,1237.37600
21-07-2025,1237.47000
18-07-2025,1229.38400
17-07-2025,1235.89800
16-07-2025,1238.73600
15-07-2025,1238.84700
14-07-2025,1233.17000
11-07-2025,1231.98800
10-07-2025,1239.23200
09-07-2025,1245.51700
08-07-2025,1245.60400
07-07-2025,1243.37000
04-07-2025,1243.13000
03-07-2025,1238.50100
02-07-2025,1242.82100
01-07-2025,1246.47100
30-06-2025,1247.84800
27-06-2025,1253.82400
26-06-2025,1245.81400
25-06-2025,1232.14900
24-06-2025,1223.82900
23-06-2025,1217.49700
20-06-2025,1223.09000
19-06-2025,1209.04200
18-06-2025,1210.85900
17-06-2025,1212.18600
16-06-2025,1215.80800
13-06-2025,1207.33500
12-06-2025,1216.96900
11-06-2025,1229.71800
10-06-2025,1228.57300
09-06-2025,1227.77200
06-06-2025,1221.76800
05-06-2025,1210.32000
04-06-2025,1204.72900
03-06-2025,1200.91600
02-06-2025,1208.58500
30-05-2025,1210.25300
29-05-2025,1214.31600
28-05-2025,1210.33400
27-05-2025,1212.62100
26-05-2025,1220.80200
23-05-2025,1215.79800
22-05-2025,1206.59100
21-05-2025,1215.73400
20-05-2025,1209.58300
19-05-2025,1221.04500
16-05-2025,1222.61300
15-05-2025,1222.88900
14-05-2025,1206.14400
13-05-2025,1203.28200
12-05-2025,1218.81500
09-05-2025,1181.02800
08-05-2025,1191.02000
07-05-2025,1198.23500
06-05-2025,1193.93900
05-05-2025,1200.05000
02-05-2025,1196.67400
30-04-2025,1198.24400
29-04-2025,1197.18200
28-04-2025,1200.41600
25-04-2025,1187.03100
24-04-2025,1198.83100
23-04-2025,1202.07800
22-04-2025,1195.25700
21-04-2025,1194.94100
17-04-2025,1182.41600
16-04-2025,1162.65800
15-04-2025,1156.74300
11-04-2025,1130.69800
09-04-2025,1108.96900
08-04-2025,1116.58900
07-04-2025,1098.84100
04-04-2025,1133.63600
03-04-2025,1151.84400
02-04-2025,1155.56100
01-04-2025,1145.75000
31-03-2025,1163.68100
28-03-2025,1163.77100
27-03-2025,1165.36900
26-03-2025,1162.03600
25-03-2025,1171.42700
24-03-2025,1173.81400
21-03-2025,1159.79500
20-03-2025,1146.51500
19-03-2025,1133.96600
18-03-2025,1129.39800
